"","gene","orf","no..of.probes","measurments","F.statistic","X.log.p.value.","difference","YPD","YPDGE","YPG","YPE","YPL","YPD0.1DNP","YPD0.25DNP","YPG0.25DNP","YPG0.1DNP"
"517","YLR169W","YLR169W",4,76,11.5087,9.17733,0.06044,1.00269,0.99023,0.96504,0.95224,0.97729,1.01268,0.98422,0.96917,0.95492
"518","APS1","YLR170C",4,76,12.64354,9.90979,0.04906,1.01076,0.99674,0.96813,0.97859,1.00159,1.01719,1.00461,0.99584,0.99386
"519","YLR171W","YLR171W",4,76,7.99142,6.64017,0.06211,1.0185,0.99935,0.97089,0.95639,0.99749,1.00948,0.99561,0.98825,0.99596
"520","DPH5","YLR172C",4,76,2.84306,2.03477,0.02772,0.98579,0.98729,0.99806,0.99895,0.98454,0.98514,0.97123,0.99842,0.99659
"521","YLR173W","YLR173W",4,76,6.01245,5.00148,0.03267,1.03171,1.01659,0.99904,1.02451,1.00274,1.03081,1.01124,1.02323,1.01206
"522","IDP2","YLR174W",4,76,3.10103,2.28767,0.04052,1.00211,1.02008,0.98545,1.00373,0.98684,1.00307,0.97956,1.00479,0.99468
"523","CBF5","YLR175W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","RFX1","YLR176C",4,76,12.10145,9.56457,0.05163,0.99552,0.97283,0.9439,0.98158,0.98685,0.99336,0.97995,0.96031,0.97458
"525","YLR177W","YLR177W",4,76,1.86868,1.09209,0.01747,1.03898,1.03117,1.02327,1.04074,1.02414,1.02928,1.03015,1.03906,1.03861
"526","tfs1","YLR178C",4,76,2.04098,1.25499,0.02595,1.01635,1.00165,1.00382,1.00013,0.99565,1.02159,0.996,1.01763,1.00663
"527","YLR179C","YLR179C",4,76,8.70599,7.19194,0.04271,1.02607,1.0172,1.01458,1.05437,1.01166,1.02461,1.03387,1.04438,1.04254
"528","sam1","YLR180W",4,76,4.74315,3.85978,0.04578,0.98558,0.96315,0.99004,0.96789,0.95832,0.97862,0.94427,0.96877,0.96835
"529","YLR181C","YLR181C",4,76,3.50802,2.68491,0.02749,1.00122,0.98844,0.99029,0.99845,0.98187,1.00936,0.99616,0.99814,0.98265
"530","SWI6","YLR182W",4,58,15.68977,10.00813,0.22582,0.80538,0.76986,0.62761,0.72944,0.77726,0.85343,0.84107,0.78601,0.75223
"531","TOS4","YLR183C",4,76,2.92921,2.11926,0.03769,1.0272,1.00401,0.99341,0.9962,0.9895,1.01066,0.99781,0.99214,0.99913
"532","YLR184W","YLR184W",2,38,33.27452,11.30893,0.22098,0.68884,0.79034,0.81462,0.90961,0.8538,0.73116,0.68864,0.80791,0.82843
"533","RPL37A","YLR185W",4,76,70.84925,27.83179,0.18744,0.70587,0.77836,0.86338,0.88969,0.89331,0.71122,0.73462,0.87459,0.85713
"534","YLR186W","YLR186W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","YLR187W","YLR187W",4,76,2.04798,1.26166,0.02591,1.02347,1.01608,1.01258,1.01687,1.00718,1.01476,0.99756,1.01424,1.01717
"536","MDL1","YLR188W",3,57,2.74608,1.83155,0.02867,1.01905,1.01206,1.00306,1.02714,0.99846,1.00979,1.01884,1.01846,1.01607
"537","UGT51","YLR189C",4,76,2.1595,1.36849,0.02368,1.01807,1.01717,1.00933,1.00081,1.00568,1.01915,0.99547,1.01225,1.00899
"538","YLR190W","YLR190W",4,76,1.94174,1.16082,0.05205,0.91459,0.94123,0.91403,0.92599,0.91723,0.92772,0.88918,0.90657,0.91934
"539","PEX13","YLR191W",4,76,5.91537,4.91669,0.0481,0.98938,0.98474,1.01962,1.00136,1.03213,1.01936,0.98687,1.03284,1.01968
"540","HCR1","YLR192C",4,65,8.91128,6.86341,0.10382,0.74423,0.76513,0.73168,0.78218,0.83137,0.78145,0.72755,0.73317,0.75001
"541","YLR193C","YLR193C",3,42,8.8486,5.40818,0.15695,0.76181,0.83775,0.7557,0.6808,0.73906,0.78405,0.78822,0.7043,0.71281
"542","YLR194C","YLR194C",4,76,2.20273,1.41011,0.03297,1.0117,1.0045,1.00614,1.00628,1.00493,1.02102,0.98926,1.00707,1.02223
"543","nmt1","YLR195C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544","PWP1","YLR196W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","SIK1","YLR197W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"546","YLR198C","YLR198C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","YLR199C","YLR199C",4,76,2.30926,1.51315,0.01738,1.01877,1.01783,1.02434,1.03019,1.01746,1.01669,1.01347,1.02945,1.03085
"548","YKE2","YLR200W",4,76,22.8933,15.2181,0.08827,0.90999,0.93365,0.97444,0.99827,0.97596,0.91269,0.91976,0.98938,0.9978
"549","YLR201C","YLR201C",4,56,192.64978,30.37631,0.50642,0.83138,0.78609,0.42923,0.37069,0.41206,0.8378,0.81791,0.33138,0.39941
"550","YLR202C","YLR202C",4,57,95.32645,24.49874,0.58133,0.85752,0.7744,0.3846,0.30748,0.52464,0.85533,0.78133,0.27619,0.3399
"551","mss51","YLR203C",4,62,115.32063,28.357,0.53769,0.86413,0.78529,0.48582,0.47275,0.50358,0.86332,0.85493,0.32644,0.35506
"552","QRI5","YLR204W",4,65,61.24259,23.03019,0.4714,1.01886,0.9847,0.7606,0.54746,0.7547,0.97674,0.95356,0.65539,0.7121
"553","YLR205C","YLR205C",4,76,1.90116,1.12258,0.02021,1.01388,1.01472,1.00208,1.02229,1.0103,1.01061,1.00999,1.00758,1.01271
"554","ENT2","YLR206W",4,76,3.01477,2.20316,0.03137,1.04555,1.0313,1.05084,1.05089,1.03184,1.03463,1.01965,1.04772,1.05102
"555","HRD3","YLR207W",4,76,7.56445,6.3007,0.02836,1.00593,1.01209,1.03051,1.03358,1.02917,1.01412,1.0065,1.03259,1.0343
"556","SEC13","YLR208W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","PNP1","YLR209C",3,57,0.89972,0.2799,0.01814,1.0065,1.01377,1.00079,1.01333,1.01016,1.01653,0.99839,1.00898,1.01547
"558","CLB4","YLR210W",4,76,3.63572,2.80878,0.03406,1.04069,1.03856,1.03258,1.03664,1.0306,1.01569,1.02476,1.04234,1.04975
"559","YLR211C","YLR211C",4,76,1.38966,0.66057,0.0158,1.01309,1.01236,1.00964,1.02536,1.01986,1.02544,1.01104,1.01993,1.02053
"560","TUB4","YLR212C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","CRR1","YLR213C",4,76,2.81781,2.01,0.01777,1.0207,1.01018,1.00885,1.02103,1.01597,1.00878,1.00623,1.024,1.01988
"562","FRE1","YLR214W",4,76,9.14991,7.52481,0.03723,0.99369,1.00716,0.9914,1.02863,1.01746,1.00066,0.99991,1.0183,1.01727
"563","CDC123","YLR215C",1,19,0.96551,0.28877,0.02507,1.03766,1.03933,1.03487,1.04038,1.04396,1.03954,1.03606,1.05994,1.04952
"564","CPR6","YLR216C",2,38,5.124,3.22295,0.02939,0.9779,0.98874,0.9895,0.96988,0.98808,0.99927,0.97015,0.97278,0.97831
"565","YLR217W","YLR217W",3,57,2.71768,1.80622,0.02935,1.01872,1.00686,1.01164,1.01427,0.99584,1.01936,0.99001,1.00456,1.01057
"566","YLR218C","YLR218C",2,38,231.00692,22.08883,0.43033,1.00954,0.96868,0.6434,0.83155,0.76367,1.00364,1.00494,0.57921,0.60979
"567","YLR219W","YLR219W",4,76,2.62168,1.81778,0.02855,1.01202,1.00732,0.99366,1.00748,0.99736,1.01302,1.00469,1.0092,1.02221
"568","CCC1","YLR220W",4,75,4.87117,3.96311,0.03555,1.04028,1.02158,1.00473,1.02115,1.0234,1.03756,1.01692,1.02241,1.02944
"569","YLR221C","YLR221C",4,76,12.68568,9.93627,0.04314,0.98887,1.01382,1.01642,1.02707,1.01207,0.99787,0.98674,1.0264,1.02989
"570","YLR222C","YLR222C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","IFH1","YLR223C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","YLR224W","YLR224W",4,76,4.66371,3.78598,0.02737,1.00925,1.01088,1.01491,1.01723,1.00582,1.01481,0.98987,1.00886,1.01422
"573","YLR225C","YLR225C",4,76,4.52582,3.65726,0.03349,1.01351,1.00323,1.00453,0.98002,1.00517,1.00697,0.98208,1.00796,0.99973
"574","BUR2","YLR226W",3,37,6.14492,3.68494,0.19382,0.73172,0.73955,0.74411,0.78744,0.83523,0.67771,0.64141,0.74833,0.70614
"575","YLR227C","YLR227C",4,76,0.69986,0.16093,0.01544,1.01853,1.02879,1.01475,1.02107,1.01335,1.02545,1.0144,1.02523,1.02777
"576","ECM22","YLR228C",2,38,1.29783,0.54339,0.02083,1.00905,1.00221,1.02166,1.0177,1.01068,1.01698,1.00757,1.02132,1.02303
"577","cdc42","YLR229C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578","YLR230W","YLR230W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","YLR231C","YLR231C",4,76,2.48992,1.68896,0.02629,1.02726,1.02243,1.01481,1.0411,1.01561,1.0202,1.02811,1.02619,1.03363
"580","YLR232W","YLR232W",4,72,49.79513,22.69478,0.21667,0.98755,0.92545,0.83602,0.82491,0.84387,0.98032,0.95806,0.77088,0.80535
"581","EST1","YLR233C",1,19,4.57454,1.74872,0.22609,0.6301,0.68464,0.85605,0.85619,0.77836,0.6855,0.64562,0.8204,0.7852
"582","top3","YLR234W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583","YLR235C","YLR235C",1,10,0,0,0.21217,0.74258,0.65215,0.57926,0.70235,0.53041,0.56961,0.72298,0.64872,0.64578
"584","YLR236C","YLR236C",4,76,1.29024,0.57698,0.02409,1.02611,1.02377,1.01666,1.03652,1.01266,1.01243,1.02987,1.02721,1.02632
"585","THI7","YLR237W",4,76,4.01286,3.17175,0.04164,1.03359,1.03437,1.04215,1.06594,1.03513,1.0243,1.04317,1.05514,1.04275
"586","YLR238W","YLR238W",4,76,8.0378,6.6766,0.041,1.01405,1.01253,1.03201,1.04599,1.02988,1.00499,1.01751,1.03638,1.04525
"587","YLR239C","YLR239C",3,50,100.47152,22.43239,0.57869,0.90225,0.86587,0.53414,0.52742,0.5146,0.88361,0.85696,0.32356,0.47267
"588","vps34","YLR240W",4,40,3.74764,2.34209,0.14484,0.44913,0.57864,0.53706,0.48344,0.53649,0.56611,0.59397,0.45825,0.5566
"589","YLR241W","YLR241W",4,76,1.00844,0.35763,0.0182,1.00716,1.00908,1.01637,1.02297,1.01336,1.01401,1.01187,1.01831,1.02536
"590","ARV1","YLR242C",3,33,27.86342,8.77937,0.33533,0.63312,0.70095,0.80137,0.78995,0.89961,0.56428,0.62137,0.68219,0.71126
"591","YLR243W","YLR243W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592","MAP1","YLR244C",1,10,0,0,0.12456,0.62386,0.6216,0.6129,0.62123,0.62634,0.51204,0.59102,0.62136,0.6366
"593","ERF2","YLR246W",4,76,5.93581,4.93458,0.04142,0.98399,0.99512,1.01713,1.02541,1.00698,1.00712,0.99931,1.01389,1.01803
"594","YLR247C","YLR247C",4,76,1.29411,0.58018,0.0146,1.01308,1.00875,1.01017,1.01949,1.01373,1.00489,1.01609,1.00893,1.01827
"595","RCK2","YLR248W",4,76,2.37961,1.58147,0.02851,1.04231,1.03172,1.0147,1.04206,1.01776,1.02387,1.02033,1.03362,1.04321
"596","yef3","YLR249W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","SSP120","YLR250W",4,76,2.67214,1.8672,0.02026,1.00905,1.01167,1.01705,1.02931,1.0105,1.01288,1.02531,1.02131,1.02664
"598","YLR251W","YLR251W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","YLR252W","YLR252W",4,76,6.99738,5.83808,0.03057,1.00474,1.00057,0.98361,0.97463,1.00485,0.99977,1.00161,0.98819,1.0052
"600","YLR253W","YLR253W",4,76,3.34377,2.52499,0.02885,0.99086,0.99646,0.98735,0.99879,1.00062,1.00682,1.01513,0.98627,1.00375
"601","YLR254C","YLR254C",4,76,0.88508,0.27232,0.01736,1.01737,1.01467,1.0041,1.01969,1.01443,1.01369,1.01707,1.01312,1.02146
"602","YLR255C","YLR255C",4,76,5.98707,4.97935,0.02314,1.01142,1.01061,1.00996,1.02955,1.01069,1.00641,1.02314,1.00915,1.02063
"603","YLR257W","YLR257W",4,76,1.62752,0.86995,0.02112,1.02969,1.02001,1.01358,1.03427,1.01544,1.02431,1.01994,1.03282,1.03471
"604","GSY2","YLR258W",4,76,2.19466,1.40233,0.02799,1.02191,1.01382,1.02603,1.03297,1.02237,1.01286,1.02637,1.03051,1.04084
"605","HSP60","YLR259C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606","LCB5","YLR260W",4,58,35.37601,16.20491,0.4406,0.69066,0.62464,0.51384,0.35821,0.54319,0.68338,0.62572,0.25006,0.28336
"607","YLR261C","YLR261C",4,76,38.4269,20.67253,0.14512,0.96455,0.92555,0.827,0.85249,0.94161,0.95653,0.97212,0.88979,0.90399
"608","YPT6","YLR262C",2,38,56.90174,14.17903,0.17417,0.98105,0.91788,0.80688,0.81193,0.94841,0.96711,0.95918,0.85574,0.90061
"609","YLR262C-A","YLR262C-A",4,76,0.91609,0.29303,0.0199,1.0044,1.00231,1.00422,1.00372,1.00368,1.0058,0.99224,1.00848,1.01214
"610","RED1","YLR263W",4,76,2.56133,1.75873,0.02808,1.02009,1.0158,1.01171,1.02805,1.01375,0.99998,1.01543,1.01018,1.02042
"611","RPS28B","YLR264W",2,38,56.58717,14.14873,0.17121,0.88256,0.91682,0.96234,1.0282,0.97649,0.85699,0.87578,0.99829,1.01447
"612","NEJ1","YLR265C",4,76,0.93578,0.30644,0.01375,1.00911,1.00307,1.00193,1.01181,1.00678,1.00545,1.00651,1.00486,1.01568
"613","YLR266C","YLR266C",4,76,4.69652,3.8165,0.02196,0.99776,0.99503,1.00573,1.01699,1.01217,1.00102,1.0033,1.00502,1.0138
"614","BOP2","YLR267W",4,76,3.31707,2.49893,0.02031,1.01753,1.01301,1.00432,1.02463,1.01756,1.00791,1.01667,1.01085,1.02139
"615","SEC22","YLR268W",3,50,40.98877,15.636,0.27003,0.99562,0.92226,0.7996,0.72558,0.77888,0.96584,0.96367,0.80287,0.78613
"616","YLR269C","YLR269C",4,76,2.91596,2.10627,0.02824,1.01726,1.00379,0.98902,1.01576,1.00248,0.9913,0.99286,1.00479,1.01575
"617","YLR270W","YLR270W",4,48,20.92547,10.4794,0.29034,0.68894,0.66665,0.46309,0.41478,0.49926,0.70512,0.66601,0.42174,0.46485
"618","YLR271W","YLR271W",4,76,1.27647,0.56562,0.02329,1.01251,1.02541,1.02225,1.02679,1.02631,1.01714,1.00597,1.01799,1.02926
"619","YCS4","YLR272C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","PIG1","YLR273C",4,76,1.92784,1.14771,0.02212,1.01015,1.01543,1.02244,1.02888,1.02269,1.00716,1.01658,1.01666,1.02928
"621","CDC46","YLR274W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","SMD2","YLR275W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","DBP9","YLR276C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","YSH1","YLR277C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","YLR278C","YLR278C",4,76,8.62166,7.12786,0.04794,1.0075,1.01613,1.02977,1.04624,1.01448,0.99996,1.00707,1.04107,1.04791
"626","YLR279W","YLR279W",4,76,2.10916,1.32015,0.03226,1.02612,1.02031,1.01448,1.01208,0.99722,1.01728,1.02655,1.01389,1.02948
"627","YLR280C","YLR280C",4,76,8.04812,6.68469,0.04646,1.02771,1.01784,0.99287,0.99104,0.98126,1.01541,1.02222,0.99263,1.00412
"628","YLR281C","YLR281C",4,76,2.58018,1.77717,0.04748,1.0498,1.0357,1.01461,1.03002,1.00231,1.02427,1.04044,1.01969,1.0257
"629","YLR282C","YLR282C",4,76,4.4053,3.54412,0.02582,1.02565,1.01632,1.00796,1.03378,1.01521,1.01329,1.02442,1.01395,1.03133
"630","YLR283W","YLR283W",4,76,2.76016,1.95346,0.02555,1.04076,1.0435,1.02846,1.04164,1.02331,1.03116,1.02594,1.04474,1.04886
"631","ECI1","YLR284C",4,76,2.23891,1.44505,0.02478,1.0284,1.02431,1.01564,1.02818,1.02353,1.00947,1.01665,1.02898,1.03425
"632","YLR285W","YLR285W",4,76,1.38587,0.65734,0.02259,1.01997,1.01791,1.01592,1.03184,1.02294,1.00925,1.02502,1.01885,1.02854
"633","CTS1","YLR286C",4,76,1.47185,0.73157,0.02094,1.00247,1.00452,1.02341,1.01743,1.01396,1.01276,1.01189,1.00768,1.01495
"634","YLR287C","YLR287C",4,76,2.81952,2.01168,0.02167,1.01557,1.0118,1.0126,1.02617,1.01904,1.00449,1.02039,1.00939,1.02615
"635","RPS30A","YLR287C-A",4,76,71.02998,27.86284,0.17556,0.8321,0.90733,0.9769,0.97004,0.98558,0.81162,0.81494,0.96391,0.98719
"636","MEC3","YLR288C",4,76,2.89292,2.08367,0.0327,1.01437,1.0092,1.01226,1.00528,1.0056,1.00954,0.99344,1.01858,1.02614
"637","GUF1","YLR289W",4,76,4.55961,3.68888,0.02901,0.99969,0.99157,0.99314,0.97211,0.98413,1.0002,1.00071,0.9717,0.98908
"638","YLR290C","YLR290C",4,76,1.12954,0.44825,0.01929,0.9946,0.98688,1.00617,0.98777,1.00617,0.99888,0.99928,0.99686,1.00448
"639","GCD7","YLR291C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","SEC72","YLR292C",4,76,4.2056,3.35537,0.03789,1.01819,1.01869,1.01325,1.03044,1.00016,0.99905,1.01567,1.03245,1.03694
"641","GSP1","YLR293C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","YLR294C","YLR294C",4,76,100.76528,32.20013,0.19256,1.01493,0.9783,0.87871,0.84151,0.8458,1.00353,1.00239,0.82237,0.8446
"643","ATP14","YLR295C",3,38,14.57633,7.10251,0.30056,0.71954,0.65499,0.50822,0.45295,0.41898,0.70507,0.66365,0.42047,0.46457
"644","YLR296W","YLR296W",4,76,4.33655,3.47931,0.03235,1.02044,1.01973,1.02738,1.03537,1.02393,1.00338,1.02434,1.02369,1.03572
"645","YLR297W","YLR297W",4,76,5.23476,4.31043,0.05145,1.0525,1.04258,1.04282,1.07106,1.03774,1.01961,1.04234,1.05671,1.06038
"646","YHC1","YLR298C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","ECM38","YLR299W",4,76,1.7045,0.93996,0.02341,1.0109,1.00699,1.00209,0.99579,1.00995,1.00248,0.997,1.00009,1.0192
"648","exg1","YLR300W",4,76,1.68141,0.91887,0.01652,1.01166,1.01105,1.01916,1.01755,1.01449,1.00601,1.01903,1.01205,1.02253
"649","MET17","YLR303W",4,76,1.51699,0.77121,0.03405,1.03316,1.02347,0.9991,1.01133,1.00294,1.01652,1.01564,1.02793,1.01153
"650","aco1","YLR304C",2,26,9.53365,3.93516,0.46946,0.85586,0.76586,0.5826,0.45315,0.59523,0.83598,0.78495,0.3864,0.44487
"651","STT4","YLR305C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","UBC12","YLR306W",2,38,2.90529,1.74753,0.0342,1.01187,1.007,0.98508,1.01928,1.00161,1.00016,1.0162,0.98999,1.00142
"653","CDA1","YLR307W",4,76,1.24326,0.53847,0.01674,1.03057,1.02262,1.02699,1.03663,1.02548,1.02219,1.03144,1.03683,1.03893
"654","CDA2","YLR308W",2,38,1.92107,1.00912,0.03275,1.03312,1.01772,1.02317,1.00038,1.02395,1.00912,1.00367,1.01588,1.03291
"655","IMH1","YLR309C",4,76,1.17597,0.48453,0.01656,1.01371,1.00864,1.01086,1.00837,1.01577,1.01516,1.02306,1.01774,1.02492
"656","cdc25","YLR310C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","YLR311C","YLR311C",4,76,2.94863,2.1383,0.03719,1.04225,1.03409,1.00506,1.02382,1.01692,1.02398,1.02852,1.0361,1.03763
"658","YLR312C","YLR312C",4,76,5.45947,4.51288,0.05208,1.03264,1.01815,1.00726,0.98056,0.9974,1.0113,0.99211,1.00992,1.01038
"659","MRPL15","YLR312W-A",3,40,28.1263,10.69318,0.34048,0.63876,0.61897,0.32613,0.34861,0.51157,0.65937,0.62373,0.31889,0.35397
"660","SPH1","YLR313C",4,76,3.25797,2.44122,0.02819,1.02964,1.02185,1.02133,1.0309,1.02208,1.00478,1.03248,1.01944,1.03297
"661","cdc3","YLR314C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","YLR315W","YLR315W",4,76,8.3615,6.92844,0.0615,0.98036,1.01348,0.99692,0.96413,0.99507,0.97457,0.97259,1.01222,1.02563
"663","TAD3","YLR316C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664","YLR317W","YLR317W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665","EST2","YLR318W",4,76,19.91989,13.87451,0.09579,1.00054,1.00866,1.05829,1.06162,1.04577,0.97543,0.99124,1.06159,1.07122
"666","BUD6","YLR319C",4,76,3.394,2.57396,0.0433,1.03663,1.02901,1.00109,1.03004,1.02465,1.01592,1.04439,1.02607,1.03705
"667","YLR320W","YLR320W",4,54,22.60157,12.00558,0.2587,0.5703,0.72915,0.79265,0.76617,0.829,0.67608,0.6764,0.76998,0.79242
"668","SFH1","YLR321C",1,18,1.1254,0.36082,0.07661,1.03605,1.03189,1.02453,1.04385,1.02892,1.00354,1.03389,0.97195,1.04856
"669","YLR322W","YLR322W",4,67,4.059,3.10949,0.13726,0.78309,0.83348,0.78715,0.69622,0.78701,0.76539,0.76379,0.76534,0.74278
"670","YLR323C","YLR323C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","YLR324W","YLR324W",4,76,0.95289,0.31825,0.01851,1.01113,1.00717,1.00099,0.99487,1.00023,0.99739,0.99262,1.00125,1.00746
"672","RPL38","YLR325C",4,76,7.65256,6.37137,0.04412,1.02893,1.026,1.0309,1.04871,1.03294,1.00887,1.01936,1.03472,1.05299
"673","YLR326W","YLR326W",4,76,1.01073,0.35928,0.01861,1.01226,1.01272,1.01732,1.01291,1.01618,1.01287,1.01013,1.00653,1.02514
"674","YLR327C","YLR327C",2,38,2.13688,1.17333,0.04384,1.04172,1.0236,1.02059,1.02074,1.01977,0.99788,1.02993,1.02149,1.03498
"675","YLR328W","YLR328W",3,57,2.09233,1.24789,0.02916,1.06125,1.04591,1.04378,1.06135,1.03586,1.03538,1.05865,1.04847,1.06454
"676","rec102","YLR329W",2,38,1.04467,0.36789,0.03618,1.04763,1.02888,1.03382,1.03741,1.03342,1.01556,1.04285,1.03308,1.05174
"677","chs5","YLR330W",4,76,12.7336,9.96634,0.07226,1.0011,0.98721,0.92884,0.93619,0.99306,0.97939,0.96475,0.9326,0.95934
"678","YLR331C","YLR331C",4,76,4.21572,3.36496,0.03832,1.04707,1.03308,1.03499,1.03644,1.03433,1.0147,1.02952,1.03849,1.05302
"679","MID2","YLR332W",2,38,1.8374,0.94548,0.03971,1.02985,1.01746,1.02969,1.00725,1.0238,1.00619,1.02482,1.02091,1.0459
"680","RPS25B","YLR333C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","YLR334C","YLR334C",4,76,0.77838,0.20541,0.01581,1.01257,1.01325,1.02547,1.02258,1.01134,1.0154,1.00966,1.02072,1.01163
"682","NUP2","YLR335W",4,75,35.22897,19.53568,0.09928,0.97278,0.99779,1.05864,1.05153,1.02539,0.97262,0.95936,1.05318,1.04727
"683","SGD1","YLR336C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","VRP1","YLR337C",1,10,0,0,0.12902,0.60893,0.59773,0.65357,0.65103,0.72174,0.59273,0.68452,0.60895,0.65227
"685","YLR338W","YLR338W",4,43,9.47883,5.70246,0.24344,0.76055,0.60726,0.55598,0.51711,0.58484,0.75838,0.73665,0.52918,0.57524
"686","YLR339C","YLR339C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","RPP0","YLR340W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","YLR341W","YLR341W",4,76,3.23479,2.41856,0.03444,1.01064,1.00183,0.99815,0.9945,1.01029,1.02811,0.99538,0.99367,1.01218
"689","FKS1","YLR342W",3,50,30.39462,13.50559,0.35292,0.60082,0.75292,0.81969,0.83927,0.87239,0.56483,0.51947,0.80802,0.82017
"690","YLR343W","YLR343W",4,76,3.63346,2.80659,0.03093,1.01585,1.02077,1.02971,1.04678,1.02463,1.0201,1.04227,1.03417,1.03424
"691","RPL26A","YLR344W",4,76,14.84664,11.23238,0.04457,0.97711,1.00273,0.99442,1.01351,1.00875,0.98088,0.96894,1.00486,1.00999
"692","YLR345W","YLR345W",4,76,4.6306,3.75515,0.03692,1.01538,1.02158,0.98465,0.99858,0.99035,1.01385,0.99957,1.00026,0.99899
"693","YLR346C","YLR346C",4,76,1.27196,0.56191,0.02314,0.99045,0.9947,1.01073,0.99999,1.00815,1.01359,0.99894,1.00581,1.01205
"694","KAP95","YLR347C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","DIC1","YLR348C",4,76,1.33821,0.61698,0.01656,1.01529,1.01428,1.01698,1.03073,1.01817,1.01417,1.01771,1.02073,1.025
"696","YLR349W","YLR349W",4,76,4.62329,3.74833,0.01948,1.02042,1.00396,1.00434,1.01316,1.00222,1.01975,1.00094,1.01294,1.01125
"697","YLR350W","YLR350W",3,57,6.34319,4.76656,0.03808,1.01402,1.00394,0.98689,0.97687,0.9812,1.01495,0.98052,0.98198,0.98766
"698","NIT3","YLR351C",4,76,2.44202,1.64224,0.02737,1.03281,1.03599,1.02898,1.04412,1.02915,1.01675,1.01761,1.03396,1.03876
"699","YLR352W","YLR352W",4,76,1.45339,0.71549,0.01726,1.02574,1.0246,1.00848,1.01965,1.01648,1.02041,1.01382,1.00903,1.01557
"700","BUD8","YLR353W",4,76,2.56516,1.76248,0.02735,1.00217,1.00747,1.01406,1.02953,1.00756,1.00628,1.01565,1.01276,1.01511
"701","TAL1","YLR354C",2,38,54.80126,13.97366,0.2147,1.04831,1.05842,0.87741,1.09211,0.9538,1.02775,1.04827,1.05759,1.00762
"702","ilv5","YLR355C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","YLR356W","YLR356W",4,76,1.86238,1.08619,0.02101,1.01244,1.00824,1.01456,1.01503,1.00879,1.00702,0.99579,1.00816,1.0168
"704","RSC2","YLR357W",4,75,18.46085,13.06707,0.10668,0.77519,0.76874,0.85425,0.74803,0.85471,0.8087,0.769,0.76071,0.78247
